state,year,month,new_cases,new_deaths,year-month,case_id
GU,2020,Jun,90,0,2020-06,539
GU,2020,Mar,77,3,2020-03,540
GU,2020,May,28,0,2020-05,541
GU,2020,Nov,2017,29,2020-11,542
GU,2020,Oct,2415,34,2020-10,543
GU,2020,Sep,994,36,2020-09,544
GU,2021,Apr,213,5,2021-04,545
GU,2021,Aug,2257,7,2021-08,546
GU,2021,Dec,1124,6,2021-12,547
GU,2021,Feb,127,2,2021-02,548
GU,2021,Jan,240,6,2021-01,549
GU,2021,Jul,286,3,2021-07,550
GU,2021,Jun,173,1,2021-06,551
GU,2021,Mar,62,3,2021-03,552
GU,2021,May,173,0,2021-05,553
GU,2021,Nov,720,18,2021-11,554
GU,2021,Oct,2580,38,2021-10,555
GU,2021,Sep,5018,60,2021-09,556
GU,2022,Apr,788,3,2022-04,557
GU,2022,Aug,2159,8,2022-08,558
GU,2022,Dec,757,2,2022-12,559
GU,2022,Feb,10631,35,2022-02,560
GU,2022,Jan,14259,24,2022-01,561
GU,2022,Jul,3178,11,2022-07,562
GU,2022,Jun,3382,7,2022-06,563
GU,2022,Mar,2273,21,2022-03,564
GU,2022,May,960,9,2022-05,565
GU,2022,Nov,480,6,2022-11,566
GU,2022,Oct,250,2,2022-10,567
GU,2022,Sep,619,11,2022-09,568
GU,2023,Apr,296,0,2023-04,569
GU,2023,Feb,191,0,2023-02,570
GU,2023,Jan,719,4,2023-01,571
GU,2023,Mar,186,0,2023-03,572
GU,2023,May,163,0,2023-05,573
HI,2020,Apr,350,9,2020-04,574
HI,2020,Aug,6354,153,2020-08,575
HI,2020,Dec,4304,54,2020-12,576
HI,2020,Feb,0,0,2020-02,577
HI,2020,Jan,0,0,2020-01,578
HI,2020,Jul,1709,25,2020-07,579
HI,2020,Jun,277,7,2020-06,580
HI,2020,Mar,257,5,2020-03,581
HI,2020,May,52,1,2020-05,582
HI,2020,Nov,2709,34,2020-11,583
HI,2020,Oct,3090,52,2020-10,584
HI,2020,Sep,3540,88,2020-09,585
HI,2021,Apr,3345,19,2021-04,586
HI,2021,Aug,20288,240,2021-08,587
HI,2021,Dec,40533,58,2021-12,588
HI,2021,Feb,1473,14,2021-02,589
HI,2021,Jan,3681,35,2021-01,590
HI,2021,Jul,6370,73,2021-07,591
HI,2021,Jun,1400,10,2021-06,592
HI,2021,Mar,2334,13,2021-03,593
HI,2021,May,1973,21,2021-05,594
HI,2021,Nov,2747,22,2021-11,595
HI,2021,Oct,3797,45,2021-10,596
HI,2021,Sep,16590,206,2021-09,597
HI,2022,Apr,11025,15,2022-04,598
HI,2022,Aug,10035,27,2022-08,599
HI,2022,Dec,5778,27,2022-12,600
HI,2022,Feb,13324,48,2022-02,601
HI,2022,Jan,96608,203,2022-01,602
HI,2022,Jul,16313,37,2022-07,603
HI,2022,Jun,30276,77,2022-06,604
HI,2022,Mar,4576,10,2022-03,605
HI,2022,May,30996,57,2022-05,606
HI,2022,Nov,4061,20,2022-11,607
HI,2022,Oct,4334,4,2022-10,608
HI,2022,Sep,5959,23,2022-09,609
HI,2023,Apr,3422,23,2023-04,610
HI,2023,Feb,2158,36,2023-02,611
HI,2023,Jan,3999,32,2023-01,612
HI,2023,Mar,3573,29,2023-03,613
HI,2023,May,654,4,2023-05,614
IA,2020,Apr,9858,209,2020-04,615
IA,2020,Aug,19713,232,2020-08,616
IA,2020,Dec,54618,1566,2020-12,617
IA,2020,Feb,0,0,2020-02,618
IA,2020,Jan,0,0,2020-01,619
IA,2020,Jul,17239,184,2020-07,620
IA,2020,Jun,9209,143,2020-06,621
IA,2020,Mar,546,9,2020-03,622
IA,2020,May,9901,355,2020-05,623
IA,2020,Nov,98945,694,2020-11,624
IA,2020,Oct,47965,443,2020-10,625
IA,2020,Sep,22783,225,2020-09,626
IA,2021,Apr,15313,220,2021-04,627
IA,2021,Aug,25989,114,2021-08,628
IA,2021,Dec,63807,574,2021-12,629
IA,2021,Feb,15854,524,2021-02,630
IA,2021,Jan,31531,915,2021-01,631
IA,2021,Jul,8669,55,2021-07,632
